################################
# Stadiums in Russia (ru)


samara,           Samara Arena|Samara|Cosmos Arena,   45_000, Samara

nizhnynovgorod,   Nizhny Novgorod Stadium|Nizhny Novgorod,  45_000, Nizhny Novgorod

volgograd,        Volgograd Arena|Volgograd, 45_000, Volgograd

ekaterinburg,     Ekaterinburg Arena|Ekaterinburg|Central Stadium, 35_000, Ekaterinburg

mordovia,         Mordovia Arena|Mordovia, 44_000, Saransk

rostov,           Rostov Arena|Rostov, 45_000, Rostov-on-Don

kaliningrad,      Kaliningrad Stadium|Kaliningrad|Arena Baltika,  35_000, Kaliningrad

kazan,            Kazan Arena|Kazan, 45_000, Kazan

fisht,            Fisht Stadium|Fisht|Fisht Olympic Stadium, 45_000, Sochi

saintpetersburg,  Saint Petersburg Stadium|Saint Petersburg|Krestovsky Stadium|Zenit Arena, 67_000, Saint Petersburg


spartak,         Spartak Stadium|Spartak|Otkritie Arena|Otkrytiye Arena,  45_000, Moscow
luzhniki,        Luzhniki Stadium|Luzhniki, 80_000, Moscow
